ticker,company_name,isin,sector,records,source_company_name,page_exists
CHMF,"PJSC ""Severstal""",RU0009046510,Manufacturing,4326,Severstal,True
CHMK,"PJSC ""Chelyabinskiy metallurgical plant""",RU0007665170,Manufacturing,2476,ChMK,True
CNRU,TsIAN,RU000A10ANA1,Real estate,1373,TsIAN (CIAN),True
CNTL,"PJSC ""Tsentralnyy telegraf""",RU0007665147,Technology,2791,Tsentralnyĭ telegraf,True
DATA,Arenadata,RU000A108ZR8,Technology,1304,Arenadata,True
DELI,Delimobil,RU000A107J11,Industrials,1538,Delimobil (Karshering Russiya),True
DIAS,Diasoft,RU000A107ER5,Technology,1755,Diasoft,True
DIOD,"OJSC ""Plant DIOD""",RU000A0JQWC1,Health care,2537,DIOD,True
DOMRF,DOM.RF,RU000A0ZZFU5,,791,DOM.RF,True
DVEC,"OJSC ""Dalnevostochnaya energy company""",RU000A0JP2W1,Utilities,2713,DEK,True
DZRD,Donskoy plant radiodetaley,RU000A0JQW11,Technology,2168,DZRD - Donskoĭ plant radiodetaleĭ,True
EELT,"PJSC ""Europeyskaya Elektrotekhnika""",RU000A0JWW54,Industrials,2716,Europeĭskaya Elektrotekhnika,True
ELFV,EL5-Energo,RU000A0F5UN3,Utilities,4309,El5 Energo (Enel),True
ELMT,ELEMENT,RU000A102093,Technology,1001,Group ELEMENT,True
ENPG,"International company PJSC ""EN+ GRUP""",RU000A100K72,Utilities,2426,En+,True
ETLN,Etalon Grup,RU000A10C1L6,Financials,2088,Etalon,True
EUTR,EvroTrans,RU000A1002V2,Energy,1497,EVROTRANS,True
FEES,Federal Grid Company Edinoy Energeticheskoy Sistemy PJSC,RU000A0JPNN9,Utilities,2772,Rosseti (FSK),True
FESH,"PJSC ""Dalnevostochnoe morskoe parokhodstvo""",RU0008992318,Transportation,2858,DVMP,True
FIXR,Fix Price Group Ltd,RU000A10B5G8,Consumer staples,1332,Fixed PRAĬWith,True
FLOT,"PJSC ""SOVREMENNYY KOMMERChESKIY FLOT""",RU000A0JXNU8,Transportation,2717,Sovcomflot,True
GAZA,"OJSC ""Gas""",RU0009034268,Consumer durables,758,Gas,True
GAZC,GAZKON,RU000A0JQG86,Financials,263,Gazkon,True
GAZP,"PJSC ""Gazprom""",RU0007661625,Energy,5002,Gazprom,True
GAZS,Gaz-servis ao,RU000A0JQG78,Financials,867,Gaz-servis ao,True
GAZT,Gas-Tek,RU000A0JS199,Financials,1059,Gas-Tek,True
GCHE,"PJSC ""Group Cherkizovo""",RU000A0JL4R1,Consumer staples,1120,Cherkizovo,True
GECO,Genetiko,RU000A105BN4,Health care,921,Genetiko,True
GEMA,Mezhdunarodnyy Meditsinskiy Centre Obrabotki and Kriokhraneniya Biomaterialov,RU000A100GC7,Health care,1865,MMTsB,True
GEMC,IPJSC UMG,RU000A107JE2,Financials,1650,EMS | YuMG,True
GLRX,Gloraks,RU000A10CRQ4,Real estate,533,PJSC GLORAX | Glorax,True
GMKN,"PJSC ""GMK ""Nornickel""",RU0007288411,Manufacturing,4437,Nornickel,True
GTRK,PJSC GLOBALTRAK MENEDZhMENT,RU000A0ZYD22,Industrials,2104,Globaltruck (GTM),True
HEAD,IJSC «IPJSC Headhunter»,RU000A107662,Technology,1832,HeadHunter (IPJSC Headhunter),True
HIMCP,Khimprom (PJSC),RU0009099006,Manufacturing,2591,Khimprom,True
HNFG,Henderson,RU000A106XF2,Consumer durables,1519,Henderson (Khenderson feshn grupp),True
HYDR,"PJSC ""Federal gidrogeneriruyushchaya company - RusGidro""",RU000A0JPKH7,Utilities,4897,RusHydro,True
IGST,"OJSC ""Izhstal""",RU0002155292,Manufacturing,2423,Izhstal,True
IRAO,"PJSC ""Inter RJSC EES""",RU000A0JPNM1,Utilities,4984,Inter RAO,True
IRKT,YaKOVLEV,RU0006752979,Industrials,2005,Yakovlev (Irkut),True
IVAT,IVA Technologies,RU000A108GD8,Technology,1201,IVA Technologies,True
JNOS,"OJSC""Slavneft-Yaroslavnefteorgsintez""",RU0009100895,Energy,1986,Slavneft-YaNOS,True
KAZT,"CJSC ""Kuybyshev Azot""",RU000A0B9BV2,Manufacturing,3648,KuĭbyshevAzot,True
KBSB,"OJSC ""Kubanenergosbyt""",RU000A0JNJ11,Utilities,2510,TNS energo Kuban,True
KCHE,"PJSC energy and electrification ""Kamchatskenergo""",RU0006753498,Utilities,2464,Kamchatskenergo,True
KFBA,Ingrad,RU000A0DJ9B4,Real estate,1939,Ingrad,True
KGKC,Kurganskaja Gener.Kompanija,RU000A0JP120,,2591,Kurganskaya Group,True
KLSB,Kalugsk. Sbyt. Company ao,RU000A0DKZK3,,2188,Kaluzhskaya retail supply company,True
KLVZ,KLVZ KLVZ KRISTALL,RU000A107KX0,Consumer staples,833,KLVZ KLVZ KRISTALL,True
KMAZ,"PJSC ""KAMAZ""",RU0008959580,Industrials,3247,KAMAZ,True
KMEZ,"PJSC ""Kovrov Mech. Zavod""",RU0006753613,Industrials,1627,Kovrov Mech. Zavod,True
KOGK,RN-Zapadnaya Siberia,RU0002155359,Energy,1912,Korshunovskiĭ GOK,True
KRKN,"PJSC ""Saratovskiy neftepererabatyvayushchiy plant""",RU0009100408,Energy,1781,Saratovskiĭ NPZ,True
KRKOP,TKZ Krasny Kotelshchik ap,RU0009098131,,2418,Krasnyĭ kotelshchik,True
KROT,"OJSC ""Moskovskaya konditerskaya fabrika ""Krasnyy Oktyabr""",RU0008913850,Consumer staples,2617,MKF Krasnyĭ Oktyabr,True
KRSB,PAO Krasnoyarskenergosbyt,RU000A0HMLY1,Utilities,2582,Krasnoyarskenergosbyt,True
KUZB,"PJSC Bank ""Kuznetskiy""",RU000A0JSQ66,Financials,1120,Kuznetskiĭ bank,True
KZOS,"PJSC Kazanskoe PJSC ""Organicheskiy sintez""",RU0009089825,Manufacturing,3122,Kazanorgsintez,True
LEAS,LK Europlan,RU000A0ZZFS9,Financials,849,Europlan,True
LENT,LENTA Ltd,RU000A102S15,Consumer staples,3596,Lenta,True
LIFE,PJSC «Farmsintez ao»,RU000A0JR514,Health care,1925,Farmsintez ao,True
LKOH,"PJSC ""Oil company ""LUKOIL""",RU0009024277,Energy,4803,LUKOIL,True
LMBZ,Lambumiz,RU000A108ZX6,,1024,Lambumiz,True
LNZL,"PJSC ""Lenzoloto""",RU000A0JP1N2,Manufacturing,2377,Lenzoloto,True
LPSB,Lipetskaya energosbytovaya company,RU000A0D8MR7,Electric utilities,1822,LESK,True
LSNG,"PJSC energy and electrification ""Lenenergo""",RU0009034490,Utilities,4655,Rosseti Lenenergo,True
LSRG,"PJSC ""Group LSR""",RU000A0JPFP0,Real estate,4252,LSR Group,True
LVHK,"OJSC ""Levenguk ao""",RU000A0JT7Y2,Industrials,2312,levenguk,True
MAGE,"OJSC energy and electrification ""Magadanenergo""",RU0006758919,Utilities,2843,Magadanenergo,True
MAGN,"OJSC ""Magnitogorskiy metallurgical plant""",RU0009084396,Manufacturing,4620,MMK,True
MBNK,MTS Bank,RU000A0JRH43,Financials,780,MTS Bank,True
MDMG,MD Medical Group IPJSC,RU000A108KL3,Health care,1836,Mat and Ditya (MD),True
MFGS,"OJSC ""Slavneft-Megionneftegaz""",RU0009011126,Energy,1686,Slavneft Megionneftegaz,True
MGKL,MGKL,RU000A0JVJQ8,Financials,1549,MGKL (Mosgorlombard),True
MGNT,"PJSC ""Magnit""",RU000A0JKQU8,Consumer staples,4599,Magnit,True
MGNZ,SMZ,RU0009100911,,2018,SMZ,True
MGTS,"PJSC ""Moskovskaya municipal telephone set""",RU0009036461,Technology,3096,MGTS,True
MISB,TNS energo Mariy El,RU000A0D8K33,Utilities,2914,TNS energo Mariĭ El,True
MOEX,"PJSC ""Moskovskaya Birzha MMVB-RTS""",RU000A0JR4A1,Financials,2604,Moscow Exchange,True
MRKC,"OJSC ""Mezhregionalnaya distribution company tsentra""",RU000A0JPPL8,Utilities,4251,Rosseti Centre,True
MRKK,"PJSC ""Mezhregionalnaya distribution grid company  Severnogo Kavkaza""",RU000A0JPPQ7,Utilities,3435,Rosseti Severnyĭ Kavkaz,True
MRKP,"PJSC ""Mezhregionalnaya distribution company tsentra and Privolzhya""",RU000A0JPN96,Utilities,4037,Rosseti Centre and Privolzhe,True
MRKS,"PJSC ""Mezhregionalnaya distribution company Sibiri""",RU000A0JPPF0,Utilities,3645,Rosseti Siberia,True
MRKU,"OJSC ""Mezhregionalnaya distribution grid company Urala""",RU000A0JPPT1,Utilities,3731,Rosseti Ural aoal,True
MRKV,"PJSC ""Mezhregionalnaya distribution grid company Volgi""",RU000A0JPPN4,Utilities,4052,Rosseti Volga,True
MRKY,"PJSC ""Mezhregionalnaya distribution company Yuga""",RU000A0JPPG8,Utilities,3650,Rosseti South,True
MRKZ,"PJSC ""Mezhregionalnaya distribution grid company Severo-West""",RU000A0JPPB9,Utilities,3952,Rosseti Severo-West,True
MRSB,"PJSC ""Mordovskaya energosbytovaya company""",RU000A0D9AJ7,Utilities,2405,Mordovenergosbyt,True
MSNG,"PJSC Energy and electrification ""Mosenergo""",RU0008958863,Utilities,3678,Mosenergo,True
MSRS,Rosseti Moscow region,RU000A0ET7Y7,Utilities,4384,Rosseti MR (MOESK),True
MSTT,"Mostotrest, PJSC",RU0009177331,Industrials,2606,Mostotrest,True
MTLR,"PJSC ""Mechel""",RU000A0DKXV5,Manufacturing,4149,Mechel,True
MTSS,"PJSC ""Mobile TeleSystems""",RU0007775219,Technology,4203,MTS,True
MVID,"PJSC  ""M.video""",RU000A0JPGA0,Consumer durables,3306,M.Video-Eldorado,True
NAUK,"OJSC ""NPO Nauka""",RU000A0JRPX9,Industrials,2186,NPO Nauka,True
NFAZ,NEFAZ PAO ao,RU0009115604,,1821,Neftekamskiĭ avtozavod (Nefaz),True
NKHP,"PJSC ""Novorossiyskiy plant khleboproduktov""",RU000A0BLWD7,Transportation,3134,NKKhP,True
NKNC,PJSC «Nizhnekamskneftekhim»,RU0009100507,Chemicals,3299,NKNKh,True
NKSH,"PJSC ""Nizhnekamskshina""",RU0009100515,Consumer durables,2700,Nizhnekamskshina,True
NLMK,"OJSC ""Novolipetskiy metallurgical plant""",RU0009046452,Manufacturing,3760,NLMK,True
NMTP,"PJSC ""Novorossiyskiy seaport commercial port""",RU0009084446,Transportation,3911,NMTP,True
NNSB,TNS energo Nizhniy Novgorod,RU000A0ET5A1,Utilities,2870,TNS energo Nizhniĭ Novgorod,True
NSVZ,"LLC ""Nauka-svyaz""",RU000A0JQLB6,Technology,2399,Nauka-Svyaz,True
NVTK,NOVATEK,RU000A0DKVS5,Energy,4071,NOVATEK,True
OGKB,"PJSC ""OGroup-2"" (prezh.naim.OJSC ""TGroup-4"")",RU000A0JNG55,Utilities,4207,OGroup-2,True
OKEY,KIVI Finance,US6708662019,Technology,2766,Okeĭ,True
OMZZP,OMZ (pref),RU0009090559,,2326,OMZ,True
OZON,IPJSC «OZON»,RU000A10CW95,Technology,1936,OZON | OZON,True
OZPH,OZON,RU000A109B25,Health care,1408,OZON Farmatsevtika,True
PAZA,Pavlovo Bus ao,RU0009083240,,1236,Pavlovskiĭ avtobus,True
PHOR,"OJSC ""PhosAgro""",RU000A0JRKT8,Manufacturing,4931,PhosAgro,True
PIKK,"PJSC ""Group Companies PIK Group""",RU000A0JP7J7,Real estate,3358,PIK Group SZ,True
PLZL,Polyus,RU000A0JNAA8,Manufacturing,3403,Polyus,True
PMSB,"PJSC ""Permskaya energosbytovaya company""",RU000A0ET123,Utilities,3075,Permenergosbyt,True
POSI,Positive Technologies,RU000A103X66,Technology,2625,Positive Technologies,True
PRFN,TEPLANT vostok,RU000A0JNXF9,,2572,TEPLANT east,True
PRMB,"OJSC AKB ""AKB Primorye""",RU000A0DPNQ5,Financials,532,AKB Primorye Bank,True
PRMD,Promomed,RU000A108JF7,Health care,1028,Promomed,True
RAGR,ROS AGRO Plc,RU000A0JQUZ6,Consumer staples,2751,RUSAGRO GROUP (old- AGRO),True
RASP,"OJSC ""Raspadskaya""",RU000A0B90N8,Energy,3590,Raspadskaya,True
RBCM,"PJSC ""RBK""",RU000A0JR6A6,Industrials,1860,RBK,True
RDRB,"PJSC ""Russian aktsionernyy kommercheskiy dorozhnyy bank""",RU000A0JU6Q7,Financials,424,Rosdorbank,True
RENI,Renaissance Insurance Strakhovanie,RU000A0ZZM04,Financials,913,Renaissance Insurance Strakhovanie,True
RGSS,"PJSC Strakhovaya Company ""Rosgosstrakh""",RU0008010855,Financials,948,Rosgosstrakh,True
RKKE,RKK Energia,RU0009095939,,2095,Energiya RKK,True
RNFT,"OJSC NK ""RussNeft""",RU000A0JSE60,Energy,3208,Russneft,True
ROLO,"OJSC ""Rusolovo PAO ao""",RU000A0JU1B0,Manufacturing,2679,Rusolovo PAO ao,True
ROSN,"PJSC ""NK ""Rosneft""",RU000A0J2Q06,Energy,3900,Rosneft,True
ROST,ROSINTER RESTORANS,RU000A0JP922,Consumer durables,2527,Rosinter,True
RTGZ,"OJSC ""Rostovoblgaz""",RU000A0JPG04,Utilities,2072,Gazprom RnD  (Rostovoblgaz),True
RTKM,"PJSC ""Rostelecom""",RU0008943394,Technology,4759,Rostelecom,True
RTSB,OJSC  Energosbyt RostovEnergo,RU000A0D8PB4,Utilities,2866,TNS energo Rostov-on-Donu,True
RUAL,"IPJSC ""United Company ""RUSAL""""",RU000A1025V3,Manufacturing,3279,RUSAL,True
RZHD,OJSC «Russian Railways»,,Transportation,252,RZhD,True
RZSB,JSC 'Ryazanenergosbyt',RU000A0D9AF5,,2431,Ryazanenergosbyt RESK,True
SAGO,"OJSC energy and electrification ""Samaraenergo""",RU0009098255,Utilities,2321,Samaraenergo,True
SARE,"PJSC energy and electrification ""Saratovenergo""",RU0009100754,Utilities,2199,Saratovenergo,True
SBER,"PJSC ""Sberbank of Russia""",RU0009029540,Financials,4260,Sberbank,True
SELG,"PJSC ""Seligdar""",RU000A0JPR50,Manufacturing,3461,Seligdar,True
SFIN,"CJSC ""Europlan""",RU000A0JVW89,Financials,3077,SFI | EsEfAĭ,True
SGZH,"PJSC ""Group Companies ""Segezha""",RU000A102XG9,Manufacturing,2551,Segezha Grupp,True
SIBN,"PJSC ""Gazprom Oil""",RU0009062467,Energy,4089,Gazpromoil,True
SIBUR,PJSC «SIBUR Holding»,,Chemicals,506,Sibur,True
SLEN,"OJSC energy and electrification ""Sakhalinenergo""",RU0009280465,Utilities,2352,Sakhalinenergo,True
SMLT,Group Samolet Group,RU000A0ZZG02,Real estate,3038,Samolet Group,True
SNGS,"OJSC ""Surgutneftegas""",RU0008926258,Energy,3223,Surgutneftegas,True
SOFL,Softlayn,RU000A0ZZBC2,Technology,2475,Softlaĭn | Softline,True
SPBE,"PJSC ""SPB Exchange""",RU000A0JQ9P9,Financials,1322,SPb Birzha (SPB),True
STSB,"OJSC ""Stavropolenergosbyt""",RU000A0ET1W4,Utilities,2537,Stavropolenergosbyt,True
SVAV,"PJSC ""Sollers""",RU0006914488,Consumer durables,2473,Sollers,True
SVCB,Sovcombank,RU000A0ZZAC4,Financials,932,Sovcombank,True
SVET,Svetofor Group Grupp,RU000A100592,Obrazovanie,1343,Svetofor Group Grupp,True
T,TKS Holding,RU000A107UL4,Financials,2177,T-Technology | Tinkoff | TKS,True
TASB,"PJSC ""Tambovskaya energosbytovaya company""",RU000A0D8NG8,Utilities,1584,Tambovenergosbyt,True
TATN,"PJSC ""Tatneft"" named after In.D. Shashina",RU0009033591,Energy,4472,Tatneft,True
TGKA,"PJSC ""Territorialnaya generating company №1""",RU000A0JNUD0,Utilities,4526,TGK-1,True
TGKB,"OJSC ""Territorialnaya generating company №2""",RU000A0JNGS7,Utilities,3382,TGK-2,True
TGKN,TGK-14,RU000A0H1ES3,Utilities,2943,TGK-14,True
TNSE,"PJSC Group companies ""TNS energo""",RU000A0JUCQ5,Utilities,2673,TNS energo,True
TORS,Rosseti Tomsk,RU000A0ETZF2,Utilities,3878,Rosseti Tomsk (TRK),True
TRMK,"PJSC ""TRUBnaya Metallurgicheskaya Company""",RU000A0B6NK6,Manufacturing,3700,TMK,True
TRNFP,"OJSC ""Aktsionernaya company by transportu oil ""Transneft""",RU0009091573,Energy,4007,Transneft,True
TTLK,"PJSC ""Tattelekom""",RU000A0HM5C1,Technology,2902,Tattelekom,True
TUZA,Tuimaz. Zavod Avtobetonovozov,RU000A0HL7A2,,1575,TZA,True
UGLD,Yuzhuralzoloto Group,RU000A0JPP37,Manufacturing,1620,Yuzhuralzoloto | UGC,True
UKUZ,"OJSC ""Yuzhnyy Kuzbass""",RU0005294775,Energy,2210,Yuzhnyĭ Kuzbass,True
UNAC,"OJSC ""United aviastroitelnaya corporation""",RU000A0JPLZ7,Industrials,2508,OAK,True
UNKL,OJSC «Yuzhno-Ural nikelevyy plant»,RU0004887991,Metals and mining,1835,YuUNK,True
UPRO,"PJSC ""Yunipro""",RU000A0JNGA5,Utilities,4250,Yunipro,True
URKA,PJSC «Uralkaliy»,RU0007661302,Chemicals,2588,Uralkaliĭ,True
URKZ,Uralskaya kuznica ao,RU000A0JPFY2,,2057,Uralskaya kuznitsa,True
USBN,"PJSC ""Uralo-Sibirskiy bank""",RU0006929536,Financials,1177,Uralsib,True
UTAR,"PJSC ""Aviakompaniya ""YuTeyr""",RU0007661385,Transportation,2797,Yuteĭr,True
UWGN,"PJSC ""NPK OVK""",RU000A0JVBT9,Industrials,2701,OVK,True
VGSB,"OJSC ""VolgogradenergoCbyt""",RU000A0D8L73,Utilities,1988,Volgogradenergosbyt,True
VJGZ,"PJSC ""Var'eganneftegaz aoneftegaz""",RU0009046460,Energy,1473,Var'eganneftegaz aoneftegaz,True
VKCO,VK,RU000A106YF0,Technology,2017,VK | VK,True
VLHZ,VHZ,RU0007984761,,2627,VKhZ,True
VRSB,"PJSC ""TNS energo Voronezh""",RU000A0DPG67,Utilities,2763,TNS energo Voronezh,True
VSEH,AllInctrumenty.ru,RU000A108K09,Consumer durables,1235,VI.ru,True
VSMO,"PJSC ""Corporation VSMPO-AVISMA""",RU0009100291,Manufacturing,2625,VSMPO-AVISMA,True
VSYD,"PJSC ""Vyborgskiy sudostroitelnyy plant""",RU0006334372,Industrials,2190,Vyborgskiĭ sudostroitelnyĭ plant (VSZ),True
VTBR,Bank VTB (PJSC),RU000A0JP5V6,Financials,3266,VTB,True
WTCM,"OJSC ""World Trade Center Moscow""",RU0008137070,Real estate,2637,TsMT,True
WUSH,Whoosh,RU000A105EX7,Transportation,1686,Vush Holding | WHOOSH,True
X5,X5 Retail Group N.V.,RU000A108X38,Consumer staples,2893,X5 | IKS 5,True
YAKG,YaTEK,RU0007796819,Energy,2463,YaTEK,True
YDEX,Yandex,RU000A107T19,Technology,2671,Yandex,True
YKEN,YaTEK,RU0009257075,Energy,2921,Yakutskenergo,True
YRSB,"OJSC ""Yaroslavskaya retail supply company""",RU000A0D8760,Utilities,2697,TNS energo Yaroslavl,True
ZAYM,Zaymer,RU000A107RM8,Financials,550,Zaĭmer,True
ZILL,JSC «ZIL»,RU0009086193,Industrials,1269,ZIL,True
ZVEZ,"PJSC ""Zvezda""",RU0009091300,Industrials,1338,Zvezda,True
